player_id_global,player_name,club,division,position_tm,availability_pct,total_distance_per90,hi_runs_per90,sprint_runs_per90,n_matches_60plus
Eredivisie:2169,Joel Ideho,FC Volendam,Eredivisie,LW,85.7,10156.8,35.3,13.9,8.0
Eredivisie:2179,Fredrik Oldrup Jensen,NAC Breda,Eredivisie,CB,46.4,10259.4,21.6,2.9,3.0
Eredivisie:218,Lars Unnerstall,FC Twente,Eredivisie,GK,96.4,4765.5,1.0,0.0,27.0
Eredivisie:2182,Cherrion Valerius,NAC Breda,Eredivisie,RB,89.3,10316.6,27.9,11.4,17.0
Eredivisie:219,Ryan Thomas,PEC Zwolle,Eredivisie,DM,89.3,11696.0,34.7,6.6,21.0
Eredivisie:2192,Rio Hillen,NAC Breda,Eredivisie,CB,82.1,9738.0,20.8,7.0,18.0
Eredivisie:2196,Basar Önal,N.E.C.,Eredivisie,CM,92.9,10711.4,27.7,16.8,21.0
Eredivisie:2199,Maas Willemsen,sc Heerenveen,Eredivisie,CB,100.0,10532.4,25.9,6.3,23.0
Eredivisie:2203,Philip Brittijn,Fortuna Sittard,Eredivisie,DM,96.4,11756.3,35.7,9.8,22.0
Eredivisie:2211,Mathis Suray,Go Ahead Eagles,Eredivisie,LW,92.9,10891.4,38.5,10.7,24.0
Eredivisie:2212,Dylan Mbayo,PEC Zwolle,Eredivisie,LW,53.6,10101.2,30.2,13.8,4.0
Eredivisie:222,Mohamed Ihattaren,Fortuna Sittard,Eredivisie,RW,85.7,11114.7,35.5,9.8,19.0
Eredivisie:2226,Matisse Didden,FC Utrecht,Eredivisie,CB,92.9,10162.7,16.7,6.1,18.0
Eredivisie:2227,Sami Ouaissa,N.E.C.,Eredivisie,CM,92.9,10373.5,35.8,14.4,26.0
Eredivisie:2228,Václav Sejk,sc Heerenveen,Eredivisie,CB,60.7,11492.0,40.2,14.3,3.0
Eredivisie:224,Sam Lammers,FC Twente,Eredivisie,CF,67.9,11175.9,39.4,7.0,11.0
Eredivisie:2240,Marvin Peersman,FC Groningen,Eredivisie,LB,96.4,10645.9,28.9,11.5,27.0
Eredivisie:2241,Tika de Jonge,FC Groningen,Eredivisie,CM,78.6,11677.7,36.6,6.9,17.0
Eredivisie:2243,,FC Groningen,Eredivisie,,42.9,,,,
Eredivisie:2245,Brynjólfur Willumsson,FC Groningen,Eredivisie,CM,82.1,11254.8,41.9,7.6,11.0
Eredivisie:2246,Noam Emeran,FC Groningen,Eredivisie,RW,25.0,,,,
Eredivisie:2247,Hidde Jurjus,FC Groningen,Eredivisie,GK,64.3,5330.2,0.4,0.2,6.0
Eredivisie:2248,Nils Eggens,FC Groningen,Eredivisie,LW,14.3,,,,
Eredivisie:2249,Daniel Bielica,NAC Breda,Eredivisie,GK,100.0,5063.9,1.2,0.1,27.0
Eredivisie:2250,Enes Mahmutovic,NAC Breda,Eredivisie,CM,57.1,8876.2,13.9,4.0,4.0
Eredivisie:2251,Leo Greiml,NAC Breda,Eredivisie,CB,50.0,9998.5,18.4,4.9,12.0
Eredivisie:2252,Max Balard,NAC Breda,Eredivisie,DM,96.4,10299.3,22.0,4.5,27.0
Eredivisie:2254,,NAC Breda,Eredivisie,,7.1,,,,
Eredivisie:2270,,N.E.C.,Eredivisie,,28.6,,,,
Eredivisie:2272,Sayfallah Ltaief,Sparta Rotterdam,Eredivisie,LW,42.9,10945.6,31.1,19.1,6.0
Eredivisie:2274,Vasilios Zagaritis,sc Heerenveen,Eredivisie,LB,100.0,10530.4,28.3,16.0,27.0
Eredivisie:228,Nick Viergever,FC Utrecht,Eredivisie,CB,85.7,9796.7,19.2,4.6,18.0
Eredivisie:2282,Seiya Maikuma,AZ,Eredivisie,RB,17.9,,,,
Eredivisie:2286,Oskar Zawada,FC Groningen,Eredivisie,CF,71.4,,,,
Eredivisie:2289,Teo Quintero,Sparta Rotterdam,Eredivisie,LB,96.4,10106.2,25.5,10.1,22.0
